epoch,layer_id,neuron_idx,mean,std,min,max
15,2_dense_layer1_weighted,0,-0.027663343,0.16044866,-0.3030339,0.15611798
15,2_dense_layer1_weighted,15,0.12551768,0.1770072,-0.18986404,0.35085183
15,2_dense_layer1_weighted,31,-0.08220231,0.067817286,-0.16441588,-0.0033159838
15,2_dense_layer1_weighted,47,0.107960016,0.07793763,-0.05053639,0.18401064
15,2_dense_layer1_weighted,63,0.14140446,0.067309216,0.033413142,0.21990766
15,5_dense_8,0,-0.021337379,0.18207203,-0.38077235,0.46409732
15,5_dense_8,7,0.003494068,0.18111344,-0.49319366,0.37198064
15,5_dense_8,15,0.019631699,0.19291621,-0.49806085,0.37554482
15,5_dense_8,23,-0.0036668964,0.20249707,-0.4538024,0.4985645
15,5_dense_8,31,0.016910976,0.19133204,-0.46504787,0.3442045
15,8_dense_9,0,-0.005218005,0.10530123,-0.28430519,0.32283995
